instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
movie - prob01.pddl,movie,add,7,7,9,0,29,29,216,0,0,0,1,0,29,0.90625,5,0.0014667,0.0057264,56124
movie - prob01.pddl,movie,cg,7,7,9,0,29,29,216,0,0,0,1,0,29,0.90625,5,0.0020001,0.0060004,56124
movie - prob02.pddl,movie,add,7,7,9,0,29,29,256,0,0,0,1,0,29,0.90625,5,0.0026511,0.0050756,56124
movie - prob02.pddl,movie,cg,7,7,9,0,29,29,256,0,0,0,1,0,29,0.90625,5,0.0009674,0.004915,56124
movie - prob03.pddl,movie,add,7,7,9,0,29,29,296,0,0,0,1,0,29,0.90625,5,0.0018261,0.0047936,56124
movie - prob03.pddl,movie,cg,7,7,9,0,29,29,296,0,0,0,1,0,29,0.90625,5,0.0029072,0.0070038,56124
movie - prob04.pddl,movie,add,7,7,9,0,29,29,336,0,0,0,1,0,29,0.90625,5,0.0049539,0.0098894,56124
movie - prob04.pddl,movie,cg,7,7,9,0,29,29,336,0,0,0,1,0,29,0.90625,5,0.0020029,0.0039814,56124
movie - prob05.pddl,movie,add,7,7,9,0,29,29,376,0,0,0,1,0,29,0.90625,5,0.001735,0.0040617,56124
movie - prob05.pddl,movie,cg,7,7,9,0,29,29,376,0,0,0,1,0,29,0.90625,5,0.0020002,0.0059927,56124
movie - prob06.pddl,movie,add,7,7,9,0,29,29,416,0,0,0,1,0,29,0.90625,5,0.0030029,0.0069705,56124
movie - prob06.pddl,movie,cg,7,7,9,0,29,29,416,0,0,0,1,0,29,0.90625,5,0.0031832,0.0071345,56124
movie - prob07.pddl,movie,add,7,7,9,0,29,29,456,0,0,0,1,0,29,0.90625,5,0.0039687,0.0088369,56124
movie - prob07.pddl,movie,cg,7,7,9,0,29,29,456,0,0,0,1,0,29,0.90625,5,0.0020142,0.0060136,56124
movie - prob08.pddl,movie,add,7,7,9,0,29,29,496,0,0,0,1,0,29,0.90625,5,0.0019428,0.0061124,56124
movie - prob08.pddl,movie,cg,7,7,9,0,29,29,496,0,0,0,1,0,29,0.90625,5,0.0019277,0.0059264,56124
movie - prob09.pddl,movie,add,7,7,9,0,29,29,536,0,0,0,1,0,29,0.90625,5,0.0019686,0.0049986,56124
movie - prob09.pddl,movie,cg,7,7,9,0,29,29,536,0,0,0,1,0,29,0.90625,5,0.0019599,0.0068106,56124
movie - prob10.pddl,movie,add,7,7,9,0,29,29,576,0,0,0,1,0,29,0.90625,5,0.0043316,0.0102505,56124
movie - prob10.pddl,movie,cg,7,7,9,0,29,29,576,0,0,0,1,0,29,0.90625,5,0.0019804,0.0049962,56124
movie - prob11.pddl,movie,add,7,7,9,0,29,29,616,0,0,0,1,0,29,0.90625,5,0.000985,0.0049812,56124
movie - prob11.pddl,movie,cg,7,7,9,0,29,29,616,0,0,0,1,0,29,0.90625,5,0.0019696,0.0108939,56124
movie - prob12.pddl,movie,add,7,7,9,0,29,29,656,0,0,0,1,0,29,0.90625,5,0.0049851,0.0091484,56124
movie - prob12.pddl,movie,cg,7,7,9,0,29,29,656,0,0,0,1,0,29,0.90625,5,0.0028474,0.0067145,56124
movie - prob13.pddl,movie,add,7,7,9,0,29,29,696,0,0,0,1,0,29,0.90625,5,0.0020046,0.0069129,56124
